_id_x,Crate,Dispatch,Content,ContentWeight,ContentCategory,NetWeight,GrossWeight,_id_y,VesselType,ManufacturingPlant,TareWeight,Status,createdAt,updatedAt
67765d6956bf9b28a8bd579f,65325,2025-01-02T06:33:18.569Z,GA,1.054,6697ce0768f46fd1cab97f58,3.656,6.2,676a5a104d10b47b2a0b9737,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.858,1,2024-12-24T06:52:00.258Z,2025-01-21T10:25:30.648Z
67765d6956bf9b28a8bd579f,65325,2025-01-02T06:33:18.569Z,GA,1.058,6697ce0768f46fd1cab97f58,3.656,6.2,676a5a104d10b47b2a0b9737,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.858,1,2024-12-24T06:52:00.258Z,2025-01-21T10:25:30.648Z
67765d9d56bf9b28a8bd57b0,65329,2025-01-02T06:33:18.569Z,PT,1.032,6697ce0768f46fd1cab97f58,6.384,8.15,676a5a104d10b47b2a0b973b,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.8,1,2024-12-24T06:52:00.373Z,2024-12-30T12:10:40.692Z
67765d9d56bf9b28a8bd57b0,65329,2025-01-02T06:33:18.569Z,PT,1.032,6697ce0768f46fd1cab97f58,6.384,8.15,676a5a104d10b47b2a0b973b,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.8,1,2024-12-24T06:52:00.373Z,2024-12-30T12:10:40.692Z
67765d9d56bf9b28a8bd57b0,65329,2025-01-02T06:33:18.569Z,PT,1.032,6697ce0768f46fd1cab97f58,6.384,8.15,676a5a104d10b47b2a0b973b,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.8,1,2024-12-24T06:52:00.373Z,2024-12-30T12:10:40.692Z
67765d9d56bf9b28a8bd57b0,65329,2025-01-02T06:33:18.569Z,MH 200,1.114,6697ce0768f46fd1cab97f58,6.384,8.15,676a5a104d10b47b2a0b973b,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.8,1,2024-12-24T06:52:00.373Z,2024-12-30T12:10:40.692Z
67765d9d56bf9b28a8bd57b0,65329,2025-01-02T06:33:18.569Z,MH 200,1.118,6697ce0768f46fd1cab97f58,6.384,8.15,676a5a104d10b47b2a0b973b,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.8,1,2024-12-24T06:52:00.373Z,2024-12-30T12:10:40.692Z
67765d9d56bf9b28a8bd57b0,65329,2025-01-02T06:33:18.569Z,GA,1.056,6697ce0768f46fd1cab97f58,6.384,8.15,676a5a104d10b47b2a0b973b,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.8,1,2024-12-24T06:52:00.373Z,2024-12-30T12:10:40.692Z
67765e2456bf9b28a8bd57dd,65388,2025-01-02T06:33:18.569Z,MUT,1.032,6697ce0768f46fd1cab97f58,2.062,4.95,676a5a124d10b47b2a0b9776,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.712,1,2024-12-24T06:52:02.218Z,2025-01-21T10:33:03.403Z
67765e2456bf9b28a8bd57dd,65388,2025-01-02T06:33:18.569Z,PR,1.03,6697ce0768f46fd1cab97f58,2.062,4.95,676a5a124d10b47b2a0b9776,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.712,1,2024-12-24T06:52:02.218Z,2025-01-21T10:33:03.403Z
67765e2e56bf9b28a8bd57e2,61028,2025-01-02T06:33:18.569Z,MDM200,1.12,6697d4bd68f46fd1cab97f59,23.402,32.1,6700eaa7db309e2c6e37a9d1,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,7.728,1,2024-10-05T07:28:39.277Z,2025-01-21T11:15:26.465Z
67765e2e56bf9b28a8bd57e2,61028,2025-01-02T06:33:18.569Z,MK200,1.12,6697d4bd68f46fd1cab97f59,23.402,32.1,6700eaa7db309e2c6e37a9d1,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,7.728,1,2024-10-05T07:28:39.277Z,2025-01-21T11:15:26.465Z
67765e2e56bf9b28a8bd57e2,61028,2025-01-02T06:33:18.569Z,NPC200,1.112,6697d4bd68f46fd1cab97f59,23.402,32.1,6700eaa7db309e2c6e37a9d1,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,7.728,1,2024-10-05T07:28:39.277Z,2025-01-21T11:15:26.465Z
67765e2e56bf9b28a8bd57e2,61028,2025-01-02T06:33:18.569Z,NPC200,1.114,6697d4bd68f46fd1cab97f59,23.402,32.1,6700eaa7db309e2c6e37a9d1,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,7.728,1,2024-10-05T07:28:39.277Z,2025-01-21T11:15:26.465Z
67765e2e56bf9b28a8bd57e2,61028,2025-01-02T06:33:18.569Z,SES200,1.098,6697d4bd68f46fd1cab97f59,23.402,32.1,6700eaa7db309e2c6e37a9d1,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,7.728,1,2024-10-05T07:28:39.277Z,2025-01-21T11:15:26.465Z
67765e2e56bf9b28a8bd57e2,61028,2025-01-02T06:33:18.569Z,SRS200,1.114,6697d4bd68f46fd1cab97f59,23.402,32.1,6700eaa7db309e2c6e37a9d1,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,7.728,1,2024-10-05T07:28:39.277Z,2025-01-21T11:15:26.465Z
67765e2e56bf9b28a8bd57e2,61028,2025-01-02T06:33:18.569Z,OM200,1.124,6697d4bd68f46fd1cab97f59,23.402,32.1,6700eaa7db309e2c6e37a9d1,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,7.728,1,2024-10-05T07:28:39.277Z,2025-01-21T11:15:26.465Z
