epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,172.697,0.75698,0.50426,1.33409,0.75824,0.9375,0.80279,0.49364,1.48456,1.10159,2.33737,0.0019907,0.0019907,0.0019907
43,176.624,0.76754,0.52601,1.33418,0.9247,1,0.99147,0.65426,1.20033,0.76143,2.11602,0.00199048,0.00199048,0.00199048
44,180.671,0.71499,0.47934,1.30677,0.81934,0.875,0.86949,0.69539,1.14058,0.62383,1.94635,0.00199027,0.00199027,0.00199027
45,184.723,0.75135,0.50091,1.35506,0.81948,0.875,0.83498,0.51082,1.38441,0.82145,2.3991,0.00199004,0.00199004,0.00199004
46,188.554,0.75871,0.52279,1.32929,0.94084,0.99429,0.98029,0.67199,1.17762,0.61801,2.02664,0.00198982,0.00198982,0.00198982
47,192.535,0.71658,0.4792,1.3108,0.93703,1,0.98794,0.74202,0.9883,0.51348,1.83493,0.00198961,0.00198961,0.00198961
48,196.643,0.7657,0.48111,1.33123,0.93245,1,0.98441,0.72781,1.02561,0.5787,1.81682,0.00198939,0.00198939,0.00198939
49,200.655,0.74939,0.48554,1.32116,0.81981,0.875,0.75301,0.51763,1.37064,0.66637,2.27115,0.00198916,0.00198916,0.00198916
50,204.571,0.74031,0.48732,1.332,0.887,0.98196,0.98167,0.72826,0.98669,0.671,1.72457,0.00198895,0.00198895,0.00198895
51,208.518,0.70347,0.45476,1.2779,0.93584,1,0.98794,0.70974,1.08074,0.63888,1.84807,0.00198873,0.00198873,0.00198873
52,212.544,0.70836,0.45023,1.28867,0.88824,0.99383,0.97767,0.76356,1.00508,0.57215,1.8574,0.00198851,0.00198851,0.00198851
53,216.481,0.70624,0.46597,1.30346,0.88862,0.99745,0.96143,0.64999,1.22454,0.65645,2.06521,0.00198829,0.00198829,0.00198829
54,220.488,0.71378,0.48183,1.28341,0.87355,1,0.95214,0.60988,1.28348,0.74229,2.28629,0.00198808,0.00198808,0.00198808
55,224.483,0.67745,0.45835,1.28359,0.56056,0.87706,0.78868,0.47617,1.31524,1.00273,2.34897,0.00198785,0.00198785,0.00198785
56,228.395,0.70208,0.46024,1.29537,0.93583,1,0.98441,0.65654,1.2311,0.55014,1.9424,0.00198764,0.00198764,0.00198764
57,232.371,0.69837,0.45141,1.28307,0.93394,1,0.97676,0.68366,1.23194,0.73106,1.97716,0.00198742,0.00198742,0.00198742
58,236.332,0.72887,0.45446,1.30359,0.93448,1,0.95853,0.64821,1.23273,0.70221,2.11401,0.0019872,0.0019872,0.0019872
59,240.319,0.69683,0.45286,1.28072,0.93401,0.9375,0.92771,0.6863,1.18946,0.80458,2.02179,0.00198698,0.00198698,0.00198698
60,244.323,0.70384,0.44149,1.29212,0.78845,0.9375,0.87022,0.59819,1.23047,0.66358,2.03732,0.00198676,0.00198676,0.00198676
61,248.316,0.69956,0.47169,1.27589,0.93737,1,0.96559,0.69508,1.07213,0.59737,1.84645,0.00198654,0.00198654,0.00198654
62,252.197,0.68736,0.43167,1.26022,0.93482,1,0.96559,0.67878,1.28054,0.74436,2.07423,0.00198633,0.00198633,0.00198633
63,256.269,0.68389,0.43241,1.27781,0.92442,1,0.97324,0.76367,1.04458,0.52137,1.86298,0.00198611,0.00198611,0.00198611
64,260.291,0.68796,0.44172,1.29367,0.93748,1,0.96971,0.62397,1.32867,0.62967,2.25009,0.00198588,0.00198588,0.00198588
65,264.288,0.63982,0.41396,1.24171,0.93347,1,0.97324,0.69068,1.22785,0.54639,2.11816,0.00198566,0.00198566,0.00198566
66,268.255,0.67983,0.42961,1.25293,0.87265,1,0.98083,0.69203,1.09935,0.66045,1.9954,0.00198544,0.00198544,0.00198544
67,272.103,0.7015,0.45097,1.29255,0.88222,0.9375,0.90626,0.66274,1.09359,0.68468,1.94334,0.00198523,0.00198523,0.00198523
68,276.055,0.71092,0.45274,1.28981,0.88632,1,0.97767,0.69356,1.3034,0.75858,2.22479,0.00198502,0.00198502,0.00198502
69,280.047,0.68256,0.44135,1.25598,0.88763,1,0.98029,0.74826,1.00867,0.52802,1.83655,0.0019848,0.0019848,0.0019848
70,283.91,0.66089,0.43653,1.26505,0.80945,0.79726,0.87864,0.56675,1.22956,0.83656,2.20209,0.00198458,0.00198458,0.00198458
71,287.874,0.69646,0.44816,1.28029,0.87806,0.9375,0.97366,0.60919,1.1756,0.80989,2.00317,0.00198437,0.00198437,0.00198437
72,291.819,0.70289,0.44414,1.28244,0.78182,0.9375,0.91892,0.54756,1.41033,0.75076,2.42069,0.00198415,0.00198415,0.00198415
73,295.683,0.6713,0.43898,1.25756,0.88826,0.99401,0.98833,0.7328,0.98714,0.63264,1.80376,0.00198393,0.00198393,0.00198393
74,299.547,0.65421,0.42528,1.27169,0.8817,1,0.98833,0.75177,0.99038,0.54819,1.731,0.00198372,0.00198372,0.00198372
75,303.483,0.6558,0.40444,1.25221,0.93792,1,0.98029,0.80418,0.845,0.51756,1.54631,0.00198351,0.00198351,0.00198351
76,307.516,0.67575,0.42622,1.25253,0.93654,1,0.98441,0.77174,0.9775,0.53264,1.79957,0.00198329,0.00198329,0.00198329
77,311.588,0.65481,0.39991,1.23785,0.8416,1,0.97767,0.70227,1.23865,0.64312,1.91366,0.00198307,0.00198307,0.00198307
78,315.666,0.63391,0.41525,1.24185,0.93754,1,0.99147,0.68468,1.15088,0.52415,1.89548,0.00198284,0.00198284,0.00198284
79,319.7,0.65801,0.41059,1.24692,0.73821,0.9375,0.84737,0.58392,1.08338,1.01552,1.9722,0.00198262,0.00198262,0.00198262
80,323.74,0.64363,0.3975,1.24559,0.93728,1,0.98794,0.7631,0.92921,0.46849,1.78606,0.0019824,0.0019824,0.0019824
81,327.722,0.66201,0.39564,1.27117,0.90685,0.9375,0.92338,0.75157,0.90559,0.59745,1.76488,0.00198218,0.00198218,0.00198218
82,331.752,0.68469,0.41815,1.27788,0.79875,0.99258,0.94567,0.72912,0.88731,0.61016,1.62895,0.00198196,0.00198196,0.00198196
83,335.749,0.64757,0.39241,1.24299,0.93834,1,0.98794,0.7137,1.02149,0.56467,1.65457,0.00198173,0.00198173,0.00198173
84,339.774,0.63546,0.38823,1.23996,0.94096,0.99627,0.99147,0.74228,1.04782,0.56438,1.89623,0.00198152,0.00198152,0.00198152
85,343.795,0.6393,0.42352,1.25123,0.88418,1,0.95233,0.76716,0.90908,0.48084,1.5718,0.00198129,0.00198129,0.00198129
86,347.803,0.64982,0.4024,1.25337,0.87694,0.9375,0.95784,0.77508,0.80954,0.55671,1.54585,0.00198107,0.00198107,0.00198107
87,351.809,0.6454,0.40503,1.23522,0.93937,1,0.98794,0.77485,0.90716,0.46658,1.69785,0.00198085,0.00198085,0.00198085
88,355.808,0.63876,0.41553,1.23505,0.87823,0.9375,0.90765,0.69014,1.01505,0.60569,1.81024,0.00198063,0.00198063,0.00198063
89,359.733,0.6876,0.41708,1.27285,0.86944,0.9375,0.89446,0.64364,1.18045,0.63812,2.1715,0.00198041,0.00198041,0.00198041
90,363.649,0.65435,0.41318,1.25305,0.93116,1,0.98441,0.67022,1.22156,0.63517,2.33879,0.0019802,0.0019802,0.0019802
91,367.657,0.62461,0.39257,1.22515,0.9658,1,0.995,0.72974,0.95909,0.54248,1.94137,0.00197998,0.00197998,0.00197998
92,371.68,0.6209,0.38696,1.24184,0.93846,1,0.995,0.7707,0.98018,0.58479,1.92109,0.00197976,0.00197976,0.00197976
93,375.637,0.6581,0.39912,1.24527,0.83138,1,0.94906,0.65866,1.35298,0.8784,2.26209,0.00197954,0.00197954,0.00197954
94,379.654,0.64494,0.39394,1.24391,0.86694,0.9375,0.88944,0.71144,1.06136,0.68998,1.94094,0.00197932,0.00197932,0.00197932
95,383.617,0.65015,0.42393,1.23615,0.87158,0.84936,0.94452,0.56832,1.37812,0.92353,2.217,0.0019791,0.0019791,0.0019791
96,387.545,0.65802,0.4168,1.25536,0.93908,1,0.98441,0.68656,1.19852,0.63256,1.99161,0.00197888,0.00197888,0.00197888
