epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1505.19,0.64661,0.43855,1.17283,0.99204,0.99716,0.99496,0.8808,0.50878,0.28449,1.01094,0.00191918,0.00191918,0.00191918
44,1539.76,0.63719,0.42968,1.17051,0.99601,0.9994,0.995,0.91005,0.45965,0.25952,0.95665,0.00191726,0.00191726,0.00191726
45,1574.54,0.63317,0.4305,1.16497,0.99619,0.992,0.995,0.90008,0.48182,0.255,0.98054,0.00191534,0.00191534,0.00191534
46,1609.45,0.62196,0.41614,1.15366,0.99596,0.9869,0.99488,0.89752,0.47232,0.25647,0.9736,0.00191341,0.00191341,0.00191341
47,1644.46,0.63527,0.42427,1.16402,0.99206,0.99947,0.99484,0.91487,0.45432,0.25063,0.95775,0.00191149,0.00191149,0.00191149
48,1679.14,0.63014,0.42313,1.16096,0.99427,0.996,0.995,0.91003,0.46437,0.25755,0.95386,0.00190956,0.00190956,0.00190956
49,1713.75,0.622,0.41893,1.16374,0.99947,0.996,0.995,0.90533,0.46555,0.25643,0.96179,0.00190764,0.00190764,0.00190764
50,1748.38,0.62227,0.4118,1.15599,0.99601,0.99918,0.995,0.90277,0.4667,0.26252,0.96933,0.00190581,0.00190581,0.00190581
51,1783.17,0.62468,0.41557,1.16264,0.99548,1,0.995,0.90308,0.46088,0.24712,0.96234,0.00190388,0.00190388,0.00190388
52,1817.69,0.62173,0.42587,1.15931,0.99914,0.992,0.995,0.89798,0.4632,0.25682,0.96781,0.00190196,0.00190196,0.00190196
53,1852.16,0.62978,0.41387,1.15918,0.99203,0.99566,0.99484,0.90222,0.46867,0.26481,0.97284,0.00190004,0.00190004,0.00190004
54,1886.74,0.61544,0.41259,1.15456,0.99587,1,0.99496,0.88813,0.47322,0.26334,0.97041,0.00189822,0.00189822,0.00189822
55,1921.48,0.60515,0.39867,1.14582,0.99578,1,0.995,0.91125,0.45593,0.23807,0.96191,0.00189629,0.00189629,0.00189629
56,1956.2,0.60627,0.40306,1.13788,0.99958,1,0.995,0.90686,0.44676,0.23719,0.95679,0.00189437,0.00189437,0.00189437
57,1991,0.59654,0.39703,1.14161,0.99946,0.996,0.995,0.90317,0.46572,0.25134,0.98337,0.00189245,0.00189245,0.00189245
58,2025.68,0.60782,0.40302,1.14569,0.99959,1,0.995,0.89934,0.4689,0.23881,0.96584,0.00189053,0.00189053,0.00189053
59,2060.37,0.60441,0.39724,1.14185,0.99934,1,0.995,0.90602,0.45,0.23614,0.94875,0.00188861,0.00188861,0.00188861
60,2095.13,0.59569,0.39465,1.13846,0.99555,1,0.995,0.91581,0.44826,0.25001,0.95138,0.00188669,0.00188669,0.00188669
61,2129.86,0.59261,0.39611,1.13725,0.97602,0.97676,0.99266,0.85168,0.54096,0.38975,1.06411,0.00188477,0.00188477,0.00188477
62,2164.53,0.5909,0.3963,1.13545,0.99939,0.992,0.995,0.89799,0.47518,0.24804,0.97672,0.00188285,0.00188285,0.00188285
63,2199.19,0.59786,0.39171,1.13899,1,0.9952,0.995,0.90523,0.46788,0.25727,0.96776,0.00188105,0.00188105,0.00188105
64,2233.95,0.5951,0.39841,1.13628,0.99538,1,0.99496,0.90656,0.43765,0.22881,0.94336,0.00187913,0.00187913,0.00187913
65,2268.82,0.59614,0.38926,1.13547,0.9989,1,0.995,0.91036,0.44178,0.23142,0.94328,0.00187721,0.00187721,0.00187721
66,2303.67,0.58816,0.38644,1.13235,0.99569,1,0.995,0.90841,0.43582,0.23254,0.92761,0.00187529,0.00187529,0.00187529
67,2338.36,0.58209,0.38739,1.12774,0.99957,1,0.995,0.92255,0.45073,0.23735,0.95316,0.00187337,0.00187337,0.00187337
68,2373.05,0.58512,0.3843,1.12599,0.99856,0.996,0.995,0.90968,0.45415,0.23366,0.95638,0.00187145,0.00187145,0.00187145
69,2408.08,0.5818,0.38639,1.12545,0.99948,1,0.995,0.91499,0.43709,0.22929,0.9367,0.00186953,0.00186953,0.00186953
70,2442.84,0.58049,0.38155,1.12691,0.9994,1,0.995,0.90731,0.44108,0.22599,0.94805,0.00186762,0.00186762,0.00186762
71,2477.66,0.58134,0.3818,1.13211,1,0.99985,0.995,0.91853,0.43433,0.23926,0.93442,0.0018657,0.0018657,0.0018657
72,2512.47,0.57974,0.3802,1.13247,1,0.99973,0.995,0.91646,0.43124,0.22763,0.92773,0.00186378,0.00186378,0.00186378
73,2547.42,0.57789,0.37046,1.12476,0.99563,1,0.995,0.91644,0.44475,0.23114,0.94866,0.00186186,0.00186186,0.00186186
74,2582.23,0.57463,0.37533,1.12211,0.9995,1,0.995,0.92175,0.43832,0.22896,0.93358,0.00185994,0.00185994,0.00185994
75,2617.23,0.57163,0.3734,1.11632,1,0.99989,0.995,0.91648,0.44803,0.22889,0.95242,0.00185802,0.00185802,0.00185802
76,2652.08,0.57491,0.37322,1.11914,0.99943,1,0.995,0.92122,0.4219,0.21909,0.92547,0.0018561,0.0018561,0.0018561
